time,rollrate,pitchrate,yawrate,accx,accy,accz
0,-0.00640869140625,-0.0042724609375,-0.01495361328125,-0.2691650390625,0.21697998046875,9.69635009765625
0.100034475326538,-0.00640869140625,-0.005340576171875,-0.016021728515625,-0.27191162109375,0.2197265625,9.70458984375
0.199938535690308,-0.00640869140625,-0.0042724609375,-0.01495361328125,-0.27923583984375,0.223388671875,9.693603515625
0.29999828338623,-0.005340576171875,-0.00213623046875,-0.01495361328125,-0.2874755859375,0.22705078125,9.69818115234375
0.400470733642578,-0.00640869140625,-0.0042724609375,-0.016021728515625,-0.27099609375,0.22430419921875,9.693603515625
0.499998807907104,-0.00640869140625,-0.003204345703125,-0.01495361328125,-0.2728271484375,0.22430419921875,9.69085693359375
0.600341796875,-0.00640869140625,-0.00640869140625,-0.01708984375,-0.274658203125,0.2178955078125,9.6881103515625
0.699908971786499,-0.005340576171875,-0.0042724609375,-0.016021728515625,-0.27923583984375,0.2288818359375,9.69635009765625
0.799830913543701,-0.00640869140625,-0.003204345703125,-0.016021728515625,-0.27099609375,0.2178955078125,9.7100830078125
0.900170564651489,-0.005340576171875,-0.0042724609375,-0.01495361328125,-0.27374267578125,0.22430419921875,9.68994140625
1.00060439109802,-0.005340576171875,-0.0042724609375,-0.01495361328125,-0.27923583984375,0.22247314453125,9.708251953125
1.10007357597351,-0.00640869140625,-0.003204345703125,-0.016021728515625,-0.27008056640625,0.2325439453125,9.71832275390625
1.20016026496887,-0.007476806640625,-0.003204345703125,-0.016021728515625,-0.27099609375,0.22705078125,9.70184326171875
1.30013728141785,-0.00640869140625,-0.0042724609375,-0.016021728515625,-0.26824951171875,0.2288818359375,9.70367431640625
1.40017294883728,-0.005340576171875,-0.005340576171875,-0.01495361328125,-0.27740478515625,0.2215576171875,9.6881103515625
1.49996829032898,-0.0042724609375,-0.003204345703125,-0.016021728515625,-0.28106689453125,0.216064453125,9.70367431640625
1.59990620613098,-0.00640869140625,-0.0042724609375,-0.016021728515625,-0.27191162109375,0.216064453125,9.7027587890625
1.69970941543579,-0.00640869140625,-0.0042724609375,-0.016021728515625,-0.2655029296875,0.2325439453125,9.697265625
1.79986524581909,-0.005340576171875,-0.003204345703125,-0.016021728515625,-0.2691650390625,0.23162841796875,9.7027587890625
1.90025925636292,-0.00640869140625,-0.003204345703125,-0.01495361328125,-0.2728271484375,0.22247314453125,9.68994140625
2.00008893013,-0.005340576171875,-0.0042724609375,-0.016021728515625,-0.263671875,0.2252197265625,9.70733642578125
2.09981918334961,-0.007476806640625,-0.003204345703125,-0.01495361328125,-0.2801513671875,0.22796630859375,9.693603515625
2.20021390914917,-0.005340576171875,-0.003204345703125,-0.016021728515625,-0.274658203125,0.2197265625,9.6990966796875
2.29998707771301,-0.00640869140625,-0.00213623046875,-0.016021728515625,-0.27008056640625,0.2252197265625,9.69818115234375
2.40022039413452,-0.007476806640625,-0.0042724609375,-0.016021728515625,-0.274658203125,0.22247314453125,9.7100830078125
2.49986410140991,-0.00640869140625,-0.00213623046875,-0.016021728515625,-0.274658203125,0.2252197265625,9.68719482421875
2.59986710548401,-0.005340576171875,-0.0042724609375,-0.016021728515625,-0.2783203125,0.2252197265625,9.69451904296875
2.69986271858215,-0.005340576171875,-0.003204345703125,-0.016021728515625,-0.28472900390625,0.2252197265625,9.6990966796875
2.79998707771301,-0.0042724609375,-0.0042724609375,-0.016021728515625,-0.27191162109375,0.22705078125,9.69451904296875
